Points with non-zero HEIDI values:
Point 0 -> Point 0, HEIDI Value: 3.0000
Point 0 -> Point 119, HEIDI Value: 3.0000
Point 1 -> Point 1, HEIDI Value: 3.0000
Point 2 -> Point 2, HEIDI Value: 3.0000
Point 3 -> Point 3, HEIDI Value: 3.0000
Point 3 -> Point 162, HEIDI Value: 3.0000
Point 4 -> Point 4, HEIDI Value: 3.0000
Point 5 -> Point 5, HEIDI Value: 3.0000
Point 6 -> Point 6, HEIDI Value: 3.0000
Point 7 -> Point 7, HEIDI Value: 3.0000
Point 8 -> Point 8, HEIDI Value: 3.0000
Point 9 -> Point 9, HEIDI Value: 3.0000
Point 10 -> Point 10, HEIDI Value: 3.0000
Point 11 -> Point 11, HEIDI Value: 3.0000
Point 11 -> Point 45, HEIDI Value: 3.0000
Point 12 -> Point 12, HEIDI Value: 3.0000
Point 13 -> Point 13, HEIDI Value: 3.0000
Point 13 -> Point 25, HEIDI Value: 3.0000
Point 14 -> Point 14, HEIDI Value: 3.0000
Point 15 -> Point 15, HEIDI Value: 3.0000
Point 16 -> Point 16, HEIDI Value: 3.0000
Point 17 -> Point 17, HEIDI Value: 3.0000
Point 18 -> Point 18, HEIDI Value: 3.0000
Point 19 -> Point 19, HEIDI Value: 3.0000
Point 20 -> Point 20, HEIDI Value: 3.0000
Point 21 -> Point 21, HEIDI Value: 3.0000
Point 22 -> Point 22, HEIDI Value: 3.0000
Point 22 -> Point 262, HEIDI Value: 3.0000
Point 23 -> Point 23, HEIDI Value: 3.0000
Point 24 -> Point 24, HEIDI Value: 3.0000
Point 25 -> Point 25, HEIDI Value: 3.0000
Point 26 -> Point 26, HEIDI Value: 3.0000
Point 26 -> Point 55, HEIDI Value: 3.0000
Point 27 -> Point 27, HEIDI Value: 3.0000
Point 28 -> Point 28, HEIDI Value: 3.0000
Point 29 -> Point 29, HEIDI Value: 3.0000
Point 30 -> Point 30, HEIDI Value: 3.0000
Point 30 -> Point 281, HEIDI Value: 3.0000
Point 31 -> Point 31, HEIDI Value: 3.0000
Point 31 -> Point 132, HEIDI Value: 3.0000
Point 32 -> Point 32, HEIDI Value: 3.0000
Point 32 -> Point 102, HEIDI Value: 3.0000
Point 33 -> Point 33, HEIDI Value: 3.0000
Point 33 -> Point 148, HEIDI Value: 3.0000
Point 34 -> Point 34, HEIDI Value: 3.0000
Point 35 -> Point 35, HEIDI Value: 3.0000
Point 36 -> Point 36, HEIDI Value: 3.0000
Point 36 -> Point 249, HEIDI Value: 3.0000
Point 37 -> Point 37, HEIDI Value: 3.0000
Point 38 -> Point 38, HEIDI Value: 3.0000
Point 39 -> Point 39, HEIDI Value: 3.0000
Point 40 -> Point 40, HEIDI Value: 3.0000
Point 40 -> Point 174, HEIDI Value: 3.0000
Point 41 -> Point 41, HEIDI Value: 3.0000
Point 42 -> Point 42, HEIDI Value: 3.0000
Point 43 -> Point 43, HEIDI Value: 3.0000
Point 43 -> Point 157, HEIDI Value: 3.0000
Point 44 -> Point 44, HEIDI Value: 3.0000
Point 45 -> Point 11, HEIDI Value: 3.0000
Point 45 -> Point 45, HEIDI Value: 3.0000
Point 46 -> Point 46, HEIDI Value: 3.0000
Point 47 -> Point 47, HEIDI Value: 3.0000
Point 48 -> Point 48, HEIDI Value: 3.0000
Point 48 -> Point 70, HEIDI Value: 3.0000
Point 49 -> Point 49, HEIDI Value: 3.0000
Point 50 -> Point 50, HEIDI Value: 3.0000
Point 50 -> Point 138, HEIDI Value: 3.0000
Point 51 -> Point 51, HEIDI Value: 3.0000
Point 52 -> Point 52, HEIDI Value: 3.0000
Point 53 -> Point 53, HEIDI Value: 3.0000
Point 54 -> Point 54, HEIDI Value: 3.0000
Point 55 -> Point 26, HEIDI Value: 3.0000
Point 55 -> Point 55, HEIDI Value: 3.0000
Point 56 -> Point 56, HEIDI Value: 3.0000
Point 57 -> Point 57, HEIDI Value: 3.0000
Point 57 -> Point 237, HEIDI Value: 3.0000
Point 58 -> Point 14, HEIDI Value: 3.0000
Point 58 -> Point 58, HEIDI Value: 3.0000
Point 58 -> Point 63, HEIDI Value: 3.0000
Point 59 -> Point 59, HEIDI Value: 3.0000
Point 60 -> Point 60, HEIDI Value: 3.0000
Point 60 -> Point 239, HEIDI Value: 3.0000
Point 61 -> Point 61, HEIDI Value: 3.0000
Point 62 -> Point 62, HEIDI Value: 3.0000
Point 62 -> Point 223, HEIDI Value: 3.0000
Point 63 -> Point 58, HEIDI Value: 3.0000
Point 63 -> Point 63, HEIDI Value: 3.0000
Point 64 -> Point 64, HEIDI Value: 3.0000
Point 65 -> Point 65, HEIDI Value: 3.0000
Point 65 -> Point 102, HEIDI Value: 3.0000
Point 66 -> Point 66, HEIDI Value: 3.0000
Point 67 -> Point 67, HEIDI Value: 3.0000
Point 68 -> Point 68, HEIDI Value: 3.0000
Point 69 -> Point 69, HEIDI Value: 3.0000
Point 70 -> Point 70, HEIDI Value: 3.0000
Point 71 -> Point 71, HEIDI Value: 3.0000
Point 72 -> Point 72, HEIDI Value: 3.0000
Point 73 -> Point 73, HEIDI Value: 3.0000
Point 74 -> Point 74, HEIDI Value: 3.0000
Point 74 -> Point 146, HEIDI Value: 3.0000
Point 75 -> Point 75, HEIDI Value: 3.0000
Point 76 -> Point 76, HEIDI Value: 3.0000
Point 76 -> Point 227, HEIDI Value: 3.0000
Point 77 -> Point 77, HEIDI Value: 3.0000
Point 78 -> Point 78, HEIDI Value: 3.0000
Point 79 -> Point 79, HEIDI Value: 3.0000
Point 80 -> Point 80, HEIDI Value: 3.0000
Point 81 -> Point 81, HEIDI Value: 3.0000
Point 82 -> Point 82, HEIDI Value: 3.0000
Point 83 -> Point 83, HEIDI Value: 3.0000
Point 84 -> Point 84, HEIDI Value: 3.0000
Point 84 -> Point 227, HEIDI Value: 3.0000
Point 85 -> Point 85, HEIDI Value: 3.0000
Point 86 -> Point 86, HEIDI Value: 3.0000
Point 87 -> Point 87, HEIDI Value: 3.0000
Point 87 -> Point 147, HEIDI Value: 3.0000
Point 88 -> Point 88, HEIDI Value: 3.0000
Point 89 -> Point 89, HEIDI Value: 3.0000
Point 90 -> Point 90, HEIDI Value: 3.0000
Point 91 -> Point 91, HEIDI Value: 3.0000
