Points with non-zero HEIDI values:
Point 0 -> Point 0, HEIDI Value: 3.0000
Point 0 -> Point 193, HEIDI Value: 3.0000
Point 0 -> Point 203, HEIDI Value: 3.0000
Point 1 -> Point 1, HEIDI Value: 3.0000
Point 1 -> Point 104, HEIDI Value: 3.0000
Point 1 -> Point 197, HEIDI Value: 3.0000
Point 2 -> Point 2, HEIDI Value: 3.0000
Point 2 -> Point 223, HEIDI Value: 3.0000
Point 2 -> Point 288, HEIDI Value: 3.0000
Point 3 -> Point 3, HEIDI Value: 3.0000
Point 4 -> Point 4, HEIDI Value: 3.0000
Point 4 -> Point 46, HEIDI Value: 3.0000
Point 4 -> Point 60, HEIDI Value: 3.0000
Point 5 -> Point 5, HEIDI Value: 3.0000
Point 5 -> Point 105, HEIDI Value: 3.0000
Point 5 -> Point 239, HEIDI Value: 3.0000
Point 6 -> Point 6, HEIDI Value: 3.0000
Point 6 -> Point 118, HEIDI Value: 3.0000
Point 6 -> Point 128, HEIDI Value: 3.0000
Point 7 -> Point 7, HEIDI Value: 3.0000
Point 8 -> Point 8, HEIDI Value: 3.0000
Point 9 -> Point 9, HEIDI Value: 3.0000
Point 9 -> Point 137, HEIDI Value: 3.0000
Point 9 -> Point 272, HEIDI Value: 3.0000
Point 10 -> Point 10, HEIDI Value: 3.0000
Point 10 -> Point 29, HEIDI Value: 3.0000
Point 10 -> Point 192, HEIDI Value: 3.0000
Point 11 -> Point 11, HEIDI Value: 3.0000
Point 11 -> Point 61, HEIDI Value: 3.0000
Point 11 -> Point 68, HEIDI Value: 3.0000
Point 11 -> Point 120, HEIDI Value: 3.0000
Point 11 -> Point 277, HEIDI Value: 3.0000
Point 12 -> Point 12, HEIDI Value: 3.0000
Point 12 -> Point 199, HEIDI Value: 3.0000
Point 12 -> Point 244, HEIDI Value: 3.0000
Point 13 -> Point 13, HEIDI Value: 3.0000
Point 14 -> Point 14, HEIDI Value: 3.0000
Point 14 -> Point 103, HEIDI Value: 3.0000
Point 14 -> Point 108, HEIDI Value: 3.0000
Point 15 -> Point 15, HEIDI Value: 3.0000
Point 15 -> Point 156, HEIDI Value: 3.0000
Point 15 -> Point 247, HEIDI Value: 3.0000
Point 16 -> Point 16, HEIDI Value: 3.0000
Point 16 -> Point 79, HEIDI Value: 3.0000
Point 16 -> Point 211, HEIDI Value: 3.0000
Point 17 -> Point 17, HEIDI Value: 3.0000
Point 17 -> Point 144, HEIDI Value: 3.0000
Point 17 -> Point 229, HEIDI Value: 3.0000
Point 18 -> Point 18, HEIDI Value: 3.0000
Point 19 -> Point 19, HEIDI Value: 3.0000
Point 19 -> Point 31, HEIDI Value: 3.0000
Point 19 -> Point 265, HEIDI Value: 3.0000
Point 20 -> Point 20, HEIDI Value: 3.0000
Point 21 -> Point 21, HEIDI Value: 3.0000
Point 22 -> Point 22, HEIDI Value: 3.0000
Point 22 -> Point 23, HEIDI Value: 3.0000
Point 22 -> Point 113, HEIDI Value: 3.0000
Point 23 -> Point 22, HEIDI Value: 3.0000
Point 23 -> Point 23, HEIDI Value: 3.0000
Point 23 -> Point 248, HEIDI Value: 3.0000
Point 24 -> Point 24, HEIDI Value: 3.0000
Point 25 -> Point 25, HEIDI Value: 3.0000
Point 26 -> Point 26, HEIDI Value: 3.0000
Point 26 -> Point 75, HEIDI Value: 3.0000
Point 26 -> Point 154, HEIDI Value: 3.0000
Point 27 -> Point 27, HEIDI Value: 3.0000
Point 27 -> Point 196, HEIDI Value: 3.0000
Point 27 -> Point 266, HEIDI Value: 3.0000
Point 28 -> Point 28, HEIDI Value: 3.0000
Point 28 -> Point 153, HEIDI Value: 3.0000
Point 28 -> Point 218, HEIDI Value: 3.0000
Point 29 -> Point 10, HEIDI Value: 3.0000
Point 29 -> Point 29, HEIDI Value: 3.0000
Point 29 -> Point 52, HEIDI Value: 3.0000
Point 30 -> Point 30, HEIDI Value: 3.0000
Point 30 -> Point 82, HEIDI Value: 3.0000
Point 30 -> Point 88, HEIDI Value: 3.0000
Point 30 -> Point 95, HEIDI Value: 3.0000
Point 30 -> Point 107, HEIDI Value: 3.0000
Point 31 -> Point 19, HEIDI Value: 3.0000
Point 31 -> Point 31, HEIDI Value: 3.0000
Point 31 -> Point 80, HEIDI Value: 3.0000
Point 32 -> Point 32, HEIDI Value: 3.0000
Point 33 -> Point 33, HEIDI Value: 3.0000
Point 33 -> Point 59, HEIDI Value: 3.0000
Point 33 -> Point 224, HEIDI Value: 3.0000
Point 34 -> Point 34, HEIDI Value: 3.0000
Point 34 -> Point 222, HEIDI Value: 3.0000
Point 34 -> Point 291, HEIDI Value: 3.0000
Point 35 -> Point 35, HEIDI Value: 3.0000
