rank,Company Name,Industry,State,City,Metro Area,Growth (%),Revenue ($),Number of Workers,Years on List,URL
598,MileStone Community Builders,Real Estate,Texas,Austin,Austin,795.3091,88777494,,2,milestone-community-builders
1058,Fruitables Pet Food,Food & Beverage,Texas,Dallas,Dallas,419.4628,5022478,,2,fruitables-pet-food
1244,GTN Technical Staffing,Human Resources,Texas,Dallas,Dallas,350.0197,21830995,,5,gtn-technical-staffing
1636,Subzero Engineering,Manufacturing,Utah,Draper,Salt Lake City,260.2377,9429145,,2,subzero-engineering
2188,LabConnect,Health,Washington,Seattle,Seattle,181.3748,12878653,,7,labconnect
2923,Sorriso Technologies,Software,Massachusetts,Acton,Boston,124.2271,2919195,,3,sorriso-technologies
3175,Phydeaux,Retail,North Carolina,Chapel Hill,Durham NC,110.1436,6575960,,5,phydeaux
3345,Health Advocate,Health,Pennsylvania,Plymouth Meeting,Philadelphia,100.5489,86092370,,8,health-advocate
4126,Automation & Control,Engineering,New Jersey,Moorestown,Philadelphia,70.4912,7559026,,2,automation-control
4408,American Sensor Technologies,Manufacturing,New Jersey,Budd Lake,New York City,61.2169,19722422,,3,american-sensor-technologies
4522,General Networks,IT Services,California,Glendale,Los Angeles,57.0372,12079727,,1,general-networks
4752,Blue Star Partners,Business Products & Services,Illinois,Chicago,Chicago,50.2425,4151560,,4,blue-star-partners
4828,Polsinelli,Business Products & Services,Missouri,Kansas City,Kansas City MO-KS,47.836,324500000,,3,polsinelli
39,Team Extreme Marketing International,Consumer Products & Services,Maryland,Chevy Chase,Washington DC,6369.1921,6772856,1,1,team-extreme-marketing-international
158,Urban Investment Group,Real Estate,District of Columbia,Washington,Washington DC,2526.0778,4822398,1,1,urban-investment-group
699,First Flight Solutions,Logistics & Transportation,North Carolina,Emerald Isle,Morehead City NC,649.0447,4269742,1,2,first-flight-solutions
1451,Sold Out Solutions,Retail,Georgia,Atlanta,Atlanta,294.6721,2889000,1,1,sold-out-solutions
1644,Talmer Bancorp,Financial Services,Michigan,Troy,Detroit,257.6628,179722000,1,1,talmer-bancorp
1945,The Infinity Resource Group,Human Resources,Tennessee,Brentwood,Nashville,208.608,2103000,1,1,the-infinity-resource-group
87,Meister Cook,Business Products & Services,Indiana,Fort Wayne,Fort Wayne IN,3943.004,7707138,2,1,meister-cook
296,AcquisitionsAndRenewals.com,Telecommunications,Nevada,Henderson,Las Vegas-Paradise NV,1548.8424,4628284,2,1,acquisitionsandrenewalscom
323,Gold Refinery of San Diego,Financial Services,California,San Diego,San Diego,1440.0701,37821889,2,1,gold-refinery-of-san-diego
324,modulR,Consumer Products & Services,Kentucky,Louisville,Louisville/Jefferson KY-IN,1437.6965,2213345,2,1,modulr
451,Servlinx,IT Services,California,Santa Clara,San Jose,1052.2563,2284325,2,1,servlinx
519,New Horizon Health,Health,California,Westlake Village,Los Angeles,910.3953,7635426,2,2,new-horizon-health
868,Toussaint and Company,Human Resources,Indiana,Carmel,Indianapolis IN,517.8956,2037758,2,2,toussaint-and-company
976,IT Partners (Bethel Park PA),IT Services,Pennsylvania,Bethel Park,Pittsburgh PA,459.1302,2001731,2,1,it-partners-bethel-park-pa
